web-scraper-order;web-scraper-start-url;content
1647115527-12;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Silic, Mario; Barlow, Jordan B. & Back, Andrea  	(2017) 	A new perspective on neutralization and deterrence: Predicting shadow IT usage. 	Information & management, 	54 	(8). 	1023-1037. 	ISSN 0378-7206"
1647115527-69;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea & Bursian, Olaf  	(2003) 	Managerial aspects of corporate e-Learning: insights from a study of four cases. 	Studies in Communications Sciences, Special Issue ""New Media in Education"", 	 	(March). 	1-22."
1647115527-507;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	eLearning als Herausforderung für die Personal- und Organisationsentwicklung. 	Symposium ""eLearning für Finanzdienstleister"". 	Stuttgart, 	17 July 2001."
1647115527-277;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Seidel, Gunter & Back, Andrea: 	Construction of a Method for Assessing the Likelihood of Burnout of Global ERP Programmes. 	Arbeitsberichte Business 2.0 IWI-HSG, 	2010, 	1/2010."
1647115527-368;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Tablet Books: Your Courses' Material in Harry Potter Newspaper Style. 	eduhub days 2012 - Learning Café Lungo. 	Murten, 	3 April 2012."
1647115527-238;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Gurgul, Grzegorz; Enkel, Ellen; Schulte, Kordula & Kruse, Carl-Heinrich: 	Supporting integration after M&A throuth Knowledge Networks within RWE Net.     	In       	Vonkrogh, Georg; Back, Andrea & Enkel, Ellen (Hrsg.):      	Knowledge Networks for Business Growth.  	Berlin : 	Springer, 	2007, 	S. 33-57."
1647115527-378;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea & Haager, Christoph: 	Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry. 	24th Bled eConference. 	Bled, 	14 Juni 2011."
1647115527-469;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Lerneffektivität im Licht der Geschäftsziele: HR-Balanced Scorecard. 	Learntec 2004. 	Karlsruhe, 	11 Februar 2004."
1647115527-296;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Bendel, Oliver; Leithner, Barbara; Keller, Miriam & Back, Andrea: 	Lernen im Medienverbund: Nachhaltigkeit von Aus- und Weiterbildung der Polizei BaWü. 	Arbeitsberichte des Learning Center der Universität St. Gallen, 	2003, 	2/2003."
1647115527-346;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Berghaus, Sabine & Back, Andrea: 	Wie packen Unternehmen die Digitale Transformation an? (Teil 1). 	 	T-Systems Multimedia Solutions GmbH, 	2016."
1647115527-50;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea  	(2009) 	Veni - VIDEO - Vici: Videobasiertes eLearning auf dem Siegeszug 2.0. 	Jahrbuch eLearning & Wissensmanagement 2009/2010, eLearning Quo vadis?, 	 	 	44-49."
1647115527-254;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Bendel, Oliver: 	Avatar.     	In       	Mertens, Peter & Back, Andrea (Hrsg.):      	Lexikon der Wirtschaftsinformatik.  	Berlin : 	Springer, 	2001, 	S. 60."
1647115527-145;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Sammer, Thomas; Vögeli, Sandro & Back, Andrea: 	Success and Failure: Two Longitudinal Case Studies on Media-Tablet Usage in CRM. 	2013. 	- 12th International Conference on Mobile Business (ICMB). 	- Berlin."
