Alexandria Scraper - Andrea Beck;;;;;;;;;;;;;;;;;;;;
Publikationstitel;Link;Autorennamen;Publikationsart;Journal;Fachgebiete;Sprache;Stichworte;Peer-Reviewed;Datum;Verlag;Auflage;Ausgabe;Seiten;ISSN;DOI;URL;Eingestellt von;Einstellungsdatum;Letzte Änderung;URI
Success and Failure: Two Longitudinal Case Studies on Media-Tablet Usage in CRM.;https://www.alexandria.unisg.ch/225216/;"Sammer, Thomas; Vögeli, Sandro & Back, Andrea";"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;"Consumerization of IT; Media-tablet; Mobile Computing; Case Study Research";Ja;12 Juni 2013;AIS Electronic Library (AISeL);;;1-12;;;https://aisel.aisnet.org/icmb2013/12;Thomas Sammer;27 Aug 2013 12:09;21 Mar 2018 09:49;https://www.alexandria.unisg.ch/publications/225216
St.Galler Referenzmodell: Strategie und Methoden für Lernprozesse.;https://www.alexandria.unisg.ch/213711/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;10 Februar 2004;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:34;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213711
Einführung in das Thema.;https://www.alexandria.unisg.ch/197471/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Social Software, Web 2.0;Nein;25 Oktober 2007;;;;;;;;Prof. Dr. Andrea Back;09 Nov 2007 10:33;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/197471
Coworking aus Unternehmenssicht II: Out of Office – into the Flow?;https://www.alexandria.unisg.ch/256520/;"Josef, Barbara; Sapegina, Anastasia; Back, Andrea & Weibel, Antoinette";"Monograph
  	      
              (Arbeitsbericht)";;"business studies
information management";Deutsch;;;Januar 2019;IWI-HSG & FAA-HSG, Universität St.Gallen;;;50;;;;Prof. Dr. Andrea Back;30 Jan 2019 15:37;13 Mar 2022 01:23;https://www.alexandria.unisg.ch/publications/256520
Supporting integration after M&A throuth Knowledge Networks within RWE Net.;https://www.alexandria.unisg.ch/259/;"Gurgul, Grzegorz; Enkel, Ellen; Schulte, Kordula & Kruse, Carl-Heinrich";Buchkapitel;;business studies;Englisch;Knowledge Networks, M&A, RWE;Ja;2007;Springer;;;33-57;;10.1007/978-3-540-33073-8_2;;Ellen Enkel;25 Okt 2004 11:11;19 Aug 2016 15:53;https://www.alexandria.unisg.ch/publications/259
Lernen mit elektronischen Medien: Projekt E-Learning der UBS AG, Zürich.;https://www.alexandria.unisg.ch/67626/;"Bursian, Olaf; Bendel, Oliver; Isler, A.; Martin, Gunnar; Leithner, Barbara; Keller, Miriam & Back, Andrea";"Monograph
  	      
              (Working Paper)";;information management;Deutsch;E-Learning, E-Training;Nein;1 Mai 2001;Institut für Wirtschaftsinformatik;;1/2001;;;;;Oliver Bendel;16 Apr 2009 14:41;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/67626
Open Educational Resources in der Web-2.0 Bewegung: Facetten der Freiheit, zu Lehr-/Lernmaterialien beizutragen und diese zu nutzen.;https://www.alexandria.unisg.ch/214073/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Web 2.0;Nein;15 November 2007;;;;;;;;Prof. Dr. Andrea Back;04 Dez 2007 15:30;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214073
How Knowledge Networks in practice look like: Findings from an international survey.;https://www.alexandria.unisg.ch/287/;Enkel, Ellen & Wicki, Yvonne;"Monograph
  	      
              (Working Paper)";;business studies;Englisch;;Nein;2002;;;BE HSG/IWI 3, No 27;;;;;Ellen Enkel;25 Okt 2004 11:17;27 Feb 2016 14:40;https://www.alexandria.unisg.ch/publications/287
Software Tools for E-Collaboration: Evaluating Web-Conferencing Tools.;https://www.alexandria.unisg.ch/213725/;"Mayrhofer, David; Back, Andrea; Hubschmid, Roger & Heidecke, Florian";"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;E-Collaboration, Virtual Classroom;Nein;17 Mai 2005;;;;845-847;;;;David Mayrhofer;24 Mai 2005 16:50;09 Mar 2018 08:33;https://www.alexandria.unisg.ch/publications/213725
Telelernen.;https://www.alexandria.unisg.ch/214186/;Back, Andrea & Weiser, Christian;Buchkapitel;;information management;Deutsch;;Nein;1997;Springer;;;404-405;;;;Prof. Dr. Andrea Back;23 Jun 2006 16:53;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214186
Lernen im Cyberspace: Die Zukunft der Wissensentwicklung und Bildungsdienstleistung?;https://www.alexandria.unisg.ch/213482/;Back, Andrea;Buchkapitel;;information management;Deutsch;E-Learning, Human Ressources Management, Wissensmanagement;Nein;2000;;;;358-374;;;;Prof. Dr. Andrea Back;30 Jun 2006 12:29;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213482
Critical Factors Influencing Innovation Diffusion on Corporate Websites.;https://www.alexandria.unisg.ch/231448/;Zollet, Roman & Back, Andrea;"Monograph
  	      
              (Arbeitsbericht)";;business studies;Englisch;Internet, Corporate Websites, Web 2.0, Interactivity, Diffusion of Innovations, Information Technology Diffusion;Nein;2014;;;;;;;;Prof. Dr. Andrea Back;07 Mai 2014 13:47;23 Aug 2016 11:18;https://www.alexandria.unisg.ch/publications/231448
Construction of a Method for Assessing the Likelihood of Burnout of Global ERP Programmes.;https://www.alexandria.unisg.ch/213580/;Seidel, Gunter & Back, Andrea;"Monograph
  	      
              (Working Paper)";;information management;Englisch;Enterprise Resource Planning;Nein;1 März 2010;Institute of Information Management;;1/2010;;;;;Prof. Dr. Andrea Back;17 Mar 2010 09:12;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213580
Strategic Deployment of Networks for Knowledge Management: When to choose the Network Option.;https://www.alexandria.unisg.ch/66959/;"Vassiliadis, Stefanos; Koehne, Marija; Seufert, Andreas; von Krogh, G. & Back, Andrea";"Monograph
  	      
              (Working Paper)";;information management;Englisch;Bilateral Projects, Knowledge-Management-Strategien, Knowledge Networks;Nein;17 März 2000;;;;;;;;Prof. Dr. Andrea Back;15 Nov 2006 14:51;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66959
Steuerungstool des Board of Directors für Digitale Transformationsprojekte.;https://www.alexandria.unisg.ch/260172/;Mörstedt, Nils G. & Back, Andrea;"Konferenzbeitrag
  	      (Poster)";;information management;Deutsch;;;19 März 2020;;;;143-145;;;https://www.uni-frankfurt.de/86410415.pdf;Prof. Dr. Andrea Back;01 Mai 2020 09:36;02 Mai 2020 10:26;https://www.alexandria.unisg.ch/publications/260172
Organisation des Aussendiensttrainings in der Pharma-Branche: Entwicklung eines Referenzmodells mittels Fallstudienforschung.;https://www.alexandria.unisg.ch/213547/;Das Training von Außendienstmitarbeitern im Vertrieb stellt hinsichtlich seiner Organisation eine große Herausforderung dar. Weiterhin hat Training in der pharmazeutischen Industrie einen größeren Einfluss auf die Performance von Vertriebsmitarbeitern als in anderen Branchen. Die Autoren stellen im Rahmen dieser Forschungsarbeit ein Referenzmodell für das Außendiensttraining in dezentral organisierten, global operierenden Unternehmen der Pharmabranche vor. Dieses wurde im Rahmen eines Design-Science-Ansatzes mittels vergleichender Fallstudienforschung entwickelt. Untersucht wurden dabei die strategische Verankerung, die Aufbau- und Ablauforganisation sowie die Unterstützung einzelner Aufgaben des Außendiensttrainings durch Informations- und Kommunikationstechnologie an acht weltweit verteilten Standorten. Darauf aufbauend wurde anschließend das Referenzmodell entworfen, welches auch für die Praxis konkrete Gestaltungsempfehlungen liefert.;Buchkapitel;;information management;Deutsch;Blended Learning, E-Learning, E-Training;Nein;2007;;;;181-196;;10.1007/978-3-7908-1922-9_13;;Florian Heidecke;12 Apr 2007 09:59;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213547
Lernen im Medienverbund: Nachhaltigkeit von Aus- und Weiterbildung der Polizei BaWü.;https://www.alexandria.unisg.ch/213461/;"Bendel, Oliver; Leithner, Barbara; Keller, Miriam & Back, Andrea";"Monograph
  	      
              (Working Paper)";;information management;Deutsch;E-Training, E-Learning, Blended Learning;Nein;1 April 2003;Institut für Wirtschaftsinformatik;;2/2003;;;;;Oliver Bendel;16 Apr 2009 15:02;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213461
"Impulsvortrag ""Persönliche Wissensarbeit"".";https://www.alexandria.unisg.ch/66942/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;14 September 2006;;;;;;;;Prof. Dr. Andrea Back;24 Okt 2006 12:21;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66942
Elektronische Märkte.;https://www.alexandria.unisg.ch/9114/;"Der Begriff des Elektronischen Marktes ist in der Fachliteratur bereits etabliert. In den letzten Jahren sind dazu verschiedene Arbeiten veröffentlicht worden, z.B. [MaYaBe87], [MaYaBe89], [Bako91b], [Freu91]. Ein einheitlicher Sprachgebrauch liegt jedoch noch nicht vor. Folgende Begriffe werden mit ""Elektronischem Markt"" (Electronic Market) im wesentlichen synonym verwendet: Elektronischer Marktplatz (Electronic Marketplace, z.B. [Bako91b]), Elektronische Beschaffung (Electronic Purchasing [Hubm89], [Butl90]), Computerisierter oder seltener: Automatisierter Handel (Computrized / Automated Trading [Domo90], [Domo92]) bez. Elektronischer Handel (Electronic Trading / Trade, z.B. [Freu89], [Kuul90]). Gewisse Formen Elektronischer Märkte werden auch mit Electronic Marketing bezeichnet (vgl. [Butl90]), was insofern unglücklich ist, als dieser Begriff schon in der eigentlichen Marketingliteratur verwendet wird, [HeSc92]. Im Gegenzug verwenden einige Autoren für Systeme der Datenerhebung am Verkaufspunkt ebenfalls den Begriff Elektronischer Marktplatz [Cord91]. Der Sprachgebrauch ist uneinheitlich. Es ist deshalb angezeigt, sich zunächst klarzumachen, welche Funktionen Märkte in unserem arbeitsteiligen Produktionssystem haben.";Buchkapitel;;other research area;Deutsch;;Nein;2004;Springer;;;171-201;;10.1007/978-3-642-18542-7_9;;Beat Schmid;21 Mar 2005 12:28;27 Feb 2016 14:43;https://www.alexandria.unisg.ch/publications/9114
Data Mining and Social Network Analysis of Ideation Contests : A Repeated Measures Design.;https://www.alexandria.unisg.ch/226769/;Walter, Thomas & Back, Andrea;"Monograph
  	      
              (Arbeitsbericht)";;information management;Englisch;Data Mining, Social Network Analysis, Clustering, Crowdsourcing, Ideation Contests;Nein;2013;;;;;;;;Prof. Dr. Andrea Back;21 Okt 2013 17:15;23 Aug 2016 11:17;https://www.alexandria.unisg.ch/publications/226769
Dealing with Knowledge Assets.;https://www.alexandria.unisg.ch/66690/;"Vassiliadis, Stefanos; Gysin, Karl; Seufert, Andreas; Back, Andrea & von Krogh, G.";"Monograph
  	      
              (Working Paper)";;information management;Englisch;Anreizsystem, Bilateral Projects, Knowledge-Management-Prozesse, Knowledge Work Processes;Nein;1 Januar 1999;;;;;;;;Prof. Dr. Andrea Back;23 Jun 2006 16:52;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66690
Einsatzmöglichkeiten von Virtual Private Workspace.;https://www.alexandria.unisg.ch/216768/;Schoenenberg, Robin & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Deutsch;Cloud Computing;Ja;21 Februar 2012;;;;627-638;;;;Prof. Dr. Andrea Back;20 Sep 2012 16:49;27 Apr 2017 14:04;https://www.alexandria.unisg.ch/publications/216768
Lean & agil: Social-Software.;https://www.alexandria.unisg.ch/231833/;Back, Andrea;Zeitungs- oder Magazinartikel;Computerworld.ch;information management;Deutsch;;Nein;20 Mai 2014;;;Sonderausgabe ti&m special;22-23;1420-5009;;;Prof. Dr. Andrea Back;28 Mai 2014 14:47;23 Aug 2016 11:18;https://www.alexandria.unisg.ch/publications/231833
Produktivität von Wissensarbeit 2.0: Traumhaft oder traumatisch.;https://www.alexandria.unisg.ch/67613/;Back, Andrea;Präsentation;;information management;Deutsch;Web 2.0, Social Software;Nein;3 Februar 2009;;;;;;;;Prof. Dr. Andrea Back;05 Mar 2009 10:08;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/67613
Classification of IS Functionalities for Workplace E-Collaboration.;https://www.alexandria.unisg.ch/65971/;Mayrhofer, David & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;E-Collaboration;Ja;21 Mai 2004;;;;208-212;;;;David Mayrhofer;07 Jan 2005 09:36;07 Mar 2018 14:39;https://www.alexandria.unisg.ch/publications/65971
Inter-, trans- und multidisziplinär – Eine essayistische Annäherung mit Blick auf die Wirtschaftsinformatik.;https://www.alexandria.unisg.ch/231831/;Back, Andrea;Buchkapitel;;information management;Deutsch;Wirtschaftsinformatik, Interdisziplinär, Transdisziplinär, Multidisziplinär;Nein;2014;;;;3-13;;10.1007/978-3-642-54411-8_1;;Prof. Dr. Andrea Back;28 Mai 2014 14:27;23 Aug 2016 11:18;https://www.alexandria.unisg.ch/publications/231831
Requirements Elicitation and Utilization Scenarios for In-Car Use of Wearable Devices.;https://www.alexandria.unisg.ch/238966/;Berghaus, Sabine & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;business studies;Englisch;Wearable devices;Ja;6 Januar 2015;;;;1028-1037;;10.1109/HICSS.2015.127;;Prof. Dr. Andrea Back;04 Feb 2015 09:55;23 Aug 2016 11:21;https://www.alexandria.unisg.ch/publications/238966
The Concept of Knowledge Networks for Growth.;https://www.alexandria.unisg.ch/255/;"Enkel, Ellen; Back, Andrea & Vonkrogh, Georg";Buchkapitel;;business studies;Englisch;Knowledge Networks, Customer Integration, Networks for M&A Integration, Innovation Networks;Ja;2007;Springer;;;1-31;;10.1007/978-3-540-33073-8_1;;Ellen Enkel;25 Okt 2004 11:11;23 Aug 2016 10:52;https://www.alexandria.unisg.ch/publications/255
Neue Aspekte des Informationsmanagements.;https://www.alexandria.unisg.ch/213398/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;9 November 2000;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:20;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213398
MERLIN - Materializing, Experiencing, Refining and Learning in Knowledge Networks.;https://www.alexandria.unisg.ch/66697/;"Enkel, Ellen; Raimann, Joerg; Seufert, Andreas; Vassiliadis, Stefanos; Wicki, Yvonne; Back, Andrea & von Krogh, G.";"Monograph
  	      
              (Working Paper)";;information management;Deutsch;MERLIN Methodology;Nein;19 September 2000;;;;;;;;Prof. Dr. Andrea Back;23 Jun 2006 16:52;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66697
Supporting Business Processes through Knowledge Management - A Technology-based Analysis.;https://www.alexandria.unisg.ch/214245/;"Raimann, Joerg; Enkel, Ellen; Seufert, Andreas; Back, Andrea & von Krogh, G.";"Monograph
  	      
              (Working Paper)";;information management;Englisch;Knowledge-Management-Prozesse, Knowledge Network Architecture, Knowledge Networks, Knowledge Work Processes;Nein;17 März 2000;;;;;;;;Prof. Dr. Andrea Back;23 Jun 2006 16:53;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214245
Exploring Innovation Practices for B2E Initiatives in the Digital Age.;https://www.alexandria.unisg.ch/254096/;Guggisberg, Vanessa & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;digital innovation management, processes, business-to-employee, agile innovation, activity theory;;9 März 2018;;4;;1543-1549;;;http://mkwi2018.leuphana.de/programm/tagungsband/;Prof. Dr. Andrea Back;25 Apr 2018 12:46;25 Apr 2018 12:46;https://www.alexandria.unisg.ch/publications/254096
Reifegradmodelle im Management von Enterprise 2.0.;https://www.alexandria.unisg.ch/69829/;Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Deutsch;Enterprise 2.0;Nein;15 September 2010;;;;105-112;;;;Prof. Dr. Andrea Back;25 Okt 2010 14:17;23 Aug 2017 08:12;https://www.alexandria.unisg.ch/publications/69829
Coworking as a New Innovation Scenario from the Perspective of Mature Organisations.;https://www.alexandria.unisg.ch/254939/;Josef, Barbara & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;;;13 April 2018;CIRU Governance Research an Development Center;;;491-507;;;;Prof. Dr. Andrea Back;06 Sep 2018 09:01;04 Dez 2019 15:08;https://www.alexandria.unisg.ch/publications/254939
Die wissenschaftliche Sicht: Der rechte Umgang mit Stakeholdern.;https://www.alexandria.unisg.ch/65875/;Back, Andrea;Buchkapitel;;information management;Deutsch;E-Learning;Nein;2005;;;;19-30;;;;Prof. Dr. Andrea Back;11 Mar 2005 11:08;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/65875
Das St. Galler Enterprise-2.0-Methodenset - Ein Ansatz zum organisatorischen Wandel.;https://www.alexandria.unisg.ch/216600/;Friedel, Dominik & Back, Andrea;Buchkapitel;;information management;Deutsch;Enterprise 2.0, Web 2.0;Nein;2012;;3., vollst. überarb. Aufl.;;108-115;;;;Prof. Dr. Andrea Back;12 Sep 2012 16:33;13 Mar 2022 01:22;https://www.alexandria.unisg.ch/publications/216600
E-Meetings im Überblick: Eine Einführung.;https://www.alexandria.unisg.ch/213913/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Collaboration;Nein;8 Mai 2003;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:14;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213913
Strategische Ausrichtung von E-Learning.;https://www.alexandria.unisg.ch/213861/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning, E-Learning-Strategien;Nein;1 Oktober 2003;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:32;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213861
Web-DNA-Analyse von (((rebell.tv))) - Publizieren und Kommunizieren in innovativer Genese.;https://www.alexandria.unisg.ch/213959/;Back, Andrea;Buchkapitel;;information management;Deutsch;;Nein;2009;Junius;;;28-31;;;;Prof. Dr. Andrea Back;01 Mar 2010 13:39;07 Sep 2016 14:04;https://www.alexandria.unisg.ch/publications/213959
A Vision for Knowledge Networking.;https://www.alexandria.unisg.ch/197043/;"Seufert, Andreas; Back, Andrea & von Krogh, G.";"Monograph
  	      
              (Working Paper)";;information management;Englisch;Knowledge Networking, Knowledge Networks, Wissensmanagement;Nein;1 Januar 1999;;;;;;;;Prof. Dr. Andrea Back;30 Jun 2006 08:17;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/197043
Entscheidungsunterstützungssysteme.;https://www.alexandria.unisg.ch/213558/;Back, Andrea;Buchkapitel;;information management;Deutsch;Informationsmanagement, Performance Measurement, Wissensmanagement;Nein;2002;;4., völl. neu gestalt. Aufl.;Bd. 3;370-374;;;;Prof. Dr. Andrea Back;30 Jun 2006 10:43;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213558
Supporting Growth through Innovation Networks in Unilever.;https://www.alexandria.unisg.ch/260/;"Rumyantseva, Maria; Enkel, Ellen & Pos, A.";Buchkapitel;;business studies;Englisch;Knowledge Networks, Innovation Networks, Unilever;Ja;2007;Springer;;;77-97;;;;Ellen Enkel;25 Okt 2004 11:11;06 Okt 2016 11:27;https://www.alexandria.unisg.ch/publications/260
Wie weit und bereit sind Unternehmen mit Enterprise 2.0 - Ergebnisse einer Reifegradstudie im deutschsprachigen Raum.;https://www.alexandria.unisg.ch/214383/;"Friedel, Dominik; Back, Andrea & Wieland, Ralf";"Konferenzbeitrag
  	      (Paper)";;information management;Deutsch;Enterprise 2.0;Nein;28 September 2011;;;;329-339;;;;Prof. Dr. Andrea Back;13 Okt 2011 16:08;23 Aug 2017 08:00;https://www.alexandria.unisg.ch/publications/214383
Design Requirements for Collaboration Processes to Increase Customer Trust in Mobile Banking Platforms.;https://www.alexandria.unisg.ch/232054/;Ruf, Christian & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;Mobile Banking, Collaboration, Trust, Collaboration Engineering;Ja;1 Juni 2014;;;;279-291;;;http://aisel.aisnet.org/bled2014/35;Prof. Dr. Andrea Back;10 Jun 2014 11:30;04 Mai 2017 07:40;https://www.alexandria.unisg.ch/publications/232054
Barrieren am Weg zum Mobile Contactless Payment : Eine Marktanalyse und Bestandsaufnahme der Situation in der Schweiz.;https://www.alexandria.unisg.ch/211868/;"Sammer, Thomas; Lazur, Christian; Walter, Thomas & Back, Andrea";"Konferenzbeitrag
  	      (Paper)";GI-Edition;information management;Deutsch;;Ja;1 März 2012;;P-202;;42-55;1617-5468;;http://subs.emis.de/LNI/Proceedings/Proceedings202...;Thomas Sammer;02 Mai 2012 16:18;13 Mar 2022 01:21;https://www.alexandria.unisg.ch/publications/211868
Narrative Hypervideos: Methodenentwurf zur Nutzung usergenerierter Videos in der Wissenskommunikation.;https://www.alexandria.unisg.ch/218402/;Back, Andrea & Toedtli, Maria Camilla;"Konferenzbeitrag
  	      (Paper)";;information management;Deutsch;;Ja;10 September 2012;Waxmann;Band 61;;65-74;;;https://www.waxmann.com/?eID=texte&pdf=2741Volltex...;Prof. Dr. Andrea Back;30 Nov 2012 09:27;09 Aug 2017 11:37;https://www.alexandria.unisg.ch/publications/218402
Mit Medienkompetenz zum Studierendenerlebnis.;https://www.alexandria.unisg.ch/213933/;Back, Andrea;Präsentation;;information management;Deutsch;Web 2.0, Lerntechnologien;Nein;26 November 2009;;;;;;;;Prof. Dr. Andrea Back;17 Dez 2009 15:10;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213933
Progettare il proprio lavoro attraverso una formazione efficace on-line.;https://www.alexandria.unisg.ch/213086/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;28 Januar 2005;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:26;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213086
Rollen, Prozesse und Führung in der Digitalen Transformation: Ratgeber und Fallstudien zur Strategiearbeit für das digitale Zeitalter (Teil 2).;https://www.alexandria.unisg.ch/248725/;Berghaus, Sabine & Back, Andrea;Fallstudie;;information management;Deutsch;;;2016;T-Systems Multimedia Solutions GmbH;;;;;;;Prof. Dr. Andrea Back;13 Jul 2016 10:28;23 Aug 2016 11:23;https://www.alexandria.unisg.ch/publications/248725
IT und Wissensmanagement: Freude oder Feinde?;https://www.alexandria.unisg.ch/213639/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Management;Nein;19 September 2001;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:37;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213639
Hürden gibt es nur im Kopf - Schweizer Unternehmen mit Vorsprung auf dem Weg zur Enterprise 2.0.;https://www.alexandria.unisg.ch/216772/;Back, Andrea;Präsentation;;information management;Deutsch;Enterprise 2.0, Web 2.0;Nein;5 März 2012;;;;;;;;Prof. Dr. Andrea Back;20 Sep 2012 17:03;23 Aug 2016 11:14;https://www.alexandria.unisg.ch/publications/216772
Integrated Performance Measurement System for Knowledge Networks for Growth.;https://www.alexandria.unisg.ch/258/;"Enkel, Ellen; Rumyantseva, Maria & Gurgul, Grzegorz";Buchkapitel;;business studies;Englisch;Knowledge Networks, Perfomance Measurment;Ja;2007;Springer;;;165-189;;10.1007/978-3-540-33073-8_6;;Ellen Enkel;25 Okt 2004 11:11;23 Aug 2016 10:52;https://www.alexandria.unisg.ch/publications/258
Web-based Open Innovation - Wie Online-Gemeinschaften Dienstleistungen, Produkte und Wissen mitgestalten.;https://www.alexandria.unisg.ch/67823/;Back, Andrea;Buchkapitel;;information management;Deutsch;;Ja;2009;Salzburg Research Forschungsgesellschaft;;;89-94;;;;Prof. Dr. Andrea Back;25 Sep 2009 11:54;07 Sep 2016 14:04;https://www.alexandria.unisg.ch/publications/67823
Vom Kursprojekt zum Reengineering der Bildungsprozesse.;https://www.alexandria.unisg.ch/213737/;Back, Andrea;Buchkapitel;;information management;Deutsch;E-Learning, Business Engineering;Nein;2004;;;265;95-104;;;;Prof. Dr. Andrea Back;14 Mai 2004 09:37;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213737
Das mobile Web 2.0 im Unternehmen.;https://www.alexandria.unisg.ch/216609/;Sammer, Thomas & Walter, Thomas;Buchkapitel;;information management;Deutsch;Web 2.0;Nein;2012;;3., vollst. überarb. Aufl.;;91-100;;;;Thomas Sammer;12 Sep 2012 17:32;23 Aug 2016 11:14;https://www.alexandria.unisg.ch/publications/216609
Impact of Gamification on User’s Knowledge-Sharing Practices:Relationships between Work Motivation, Performance Expectancy and Work Engagement.;https://www.alexandria.unisg.ch/250228/;Silic, Mario & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;;;7 Januar 2017;Proceedings of the 50th Annual Hawaii International Conference on System Sciences (HICSS);;;1308-1317;;;;Prof. Dr. Andrea Back;24 Jan 2017 15:47;17 Jan 2018 15:27;https://www.alexandria.unisg.ch/publications/250228
Gestaltung eines Blended-Learning-Szenarios vor dem Hintergrund der Unterstützung einer neuen Lernkultur in Unternehmen.;https://www.alexandria.unisg.ch/67295/;Back, Andrea & Keller, Miriam;Buchkapitel;;information management;Deutsch;Blended Learning;Nein;2007;;;;227-243;;;;Prof. Dr. Andrea Back;30 Jan 2008 13:44;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/67295
